Id,SalePrice
1461,121965.66
1462,153463.08
1463,183573.92
1464,201091.19
1465,181217.22
1466,175681.3
1467,174122.25
1468,166592.22
1469,186744.55
1470,128034.12
1471,198601.5
1472,98289.7
1473,96952.6
1474,157531.98
1475,138324.39
1476,376947.44
1477,246925.69
1478,285934.4
1479,247344.25
1480,531689.9
1481,292226.66
1482,208273.42
1483,175163.94
1484,169992.62
1485,173315.89
1486,190474.33
1487,347135.56
1488,236063.19
1489,204221.69
1490,199515.22
1491,186786.95
1492,85330.56
1493,178544.9
1494,283069.94
1495,301697.8
1496,241865.11
1497,176900.7
1498,163661.02
1499,156305.34
1500,150595.16
1501,176301.97
1502,156876.83
1503,313688.03
1504,222913.81
1505,224258.34
1506,191387.7
1507,225352.19
1508,204298.3
1509,160113.81
1510,148203.45
1511,146218.64
1512,162207.83
1513,148935.4
1514,163707.52
1515,170780.73
1516,152377.38
1517,154021.53
1518,130027.76
1519,220612.75
1520,137333.6
1521,136703.02
1522,167878.75
1523,117425.625
1524,130239.695
1525,126211.625
1526,130497.6
1527,110156.055
1528,130059.48
1529,148243.45
1530,185272.39
1531,100591.25
1532,100510.49
1533,146966.75
1534,120184.78
1535,159771.02
1536,119131.22
1537,78807.9
1538,184553.25
1539,200044.62
1540,98643.54
1541,140284.94
1542,149845.9
1543,238003.48
1544,82780.6
1545,108344.23
1546,133363.94
1547,142139.39
1548,140399.06
1549,116565.734
1550,139191.0
1551,111347.61
1552,123199.71
1553,155118.25
1554,107700.51
1555,171196.94
1556,76132.02
1557,105152.26
1558,94167.414
1559,88234.21
1560,131190.11
1561,129703.53
1562,133653.34
1563,123399.77
1564,153928.33
1565,149761.75
1566,220109.11
1567,82473.43
1568,231864.52
1569,152893.47
1570,148341.1
1571,126798.914
1572,154139.61
1573,266175.78
1574,118522.875
1575,209433.36
1576,221306.28
1577,195511.88
1578,146211.78
1579,145869.77
1580,190107.86
1581,147212.31
1582,124555.805
1583,322687.56
1584,237063.6
1585,140280.84
1586,73769.195
1587,96839.55
1588,148199.23
1589,95303.64
1590,131732.05
1591,98796.914
1592,117830.555
1593,127843.445
1594,125189.22
1595,115330.05
1596,254008.45
1597,193151.69
1598,196882.6
1599,191520.31
1600,181195.45
1601,75958.71
1602,119828.125
1603,80284.9
1604,274752.9
1605,235555.42
1606,166744.4
1607,149668.25
1608,207393.17
1609,191247.14
1610,155224.92
1611,138916.92
1612,168336.05
1613,162141.31
1614,125737.1
1615,85542.87
1616,70833.75
1617,90122.016
1618,128836.836
1619,133478.7
1620,145301.05
1621,141437.94
1622,149980.64
1623,280467.0
1624,220021.84
1625,127744.914
1626,162507.83
1627,193955.34
1628,263633.3
1629,182632.2
1630,432381.0
1631,241047.92
1632,234075.7
1633,171277.77
1634,182418.95
1635,185363.97
